,X,stopwords
1,1,adanya
2,2,adalah
3,3,adapun
4,4,agak
5,5,agaknya
6,6,agar
7,7,akan
8,8,akankah
9,9,akhirnya
10,10,aku
11,11,akulah
12,12,amat
13,13,amatlah
14,14,anda
15,15,andalah
16,16,antar
17,17,diantaranya
18,18,antara
19,19,antaranya
20,20,diantara
21,21,apa
22,22,apaan
23,23,mengapa
24,24,apabila
25,25,apakah
26,26,apalagi
27,27,apatah
28,28,atau
29,29,ataukah
30,30,ataupun
31,31,bagai
32,32,bagaikan
33,33,sebagai
34,34,sebagainya
35,35,bagaimana
36,36,bagaimanapun
37,37,sebagaimana
38,38,bagaimanakah
39,39,bagi
40,40,bahkan
41,41,bahwa
42,42,bahwasanya
43,43,sebaliknya
44,44,banyak
45,45,sebanyak
46,46,beberapa
47,47,seberapa
48,48,begini
49,49,beginian
50,50,beginikah
51,51,beginilah
52,52,sebegini
53,53,begitu
54,54,begitukah
55,55,begitulah
56,56,begitupun
57,57,sebegitu
58,58,belum
59,59,belumlah
60,60,sebelum
61,61,sebelumnya
62,62,sebenarnya
63,63,berapa
64,64,berapakah
65,65,berapalah
66,66,berapapun
67,67,betulkah
68,68,sebetulnya
69,69,biasa
70,70,biasanya
71,71,bila
72,72,bilakah
73,73,bisa
74,74,bisakah
75,75,sebisanya
76,76,boleh
77,77,bolehkah
78,78,bolehlah
79,79,buat
80,80,bukan
81,81,bukankah
82,82,bukanlah
83,83,bukannya
84,84,cuma
85,85,percuma
86,86,dahulu
87,87,dalam
88,88,dan
89,89,dapat
90,90,dari
91,91,daripada
92,92,dekat
93,93,demi
94,94,demikian
95,95,demikianlah
96,96,sedemikian
97,97,dengan
98,98,depan
99,99,di
100,100,dia
101,101,dialah
102,102,dini
103,103,diri
104,104,dirinya
105,105,terdiri
106,106,dong
107,107,dulu
108,108,enggak
109,109,enggaknya
110,110,entah
111,111,entahlah
112,112,terhadap
113,113,terhadapnya
114,114,hal
115,115,hampir
116,116,hanya
117,117,hanyalah
118,118,harus
119,119,haruslah
120,120,harusnya
121,121,seharusnya
122,122,hendak
123,123,hendaklah
124,124,hendaknya
125,125,hingga
126,126,sehingga
127,127,ia
128,128,ialah
129,129,ibarat
130,130,ingin
131,131,inginkah
132,132,inginkan
133,133,ini
134,134,inikah
135,135,inilah
136,136,itu
137,137,itukah
138,138,itulah
139,139,jangan
140,140,jangankan
141,141,janganlah
142,142,jika
143,143,jikalau
144,144,juga
145,145,justru
146,146,kala
147,147,kalau
148,148,kalaulah
149,149,kalaupun
150,150,kalian
151,151,kami
152,152,kamilah
153,153,kamu
154,154,kamulah
155,155,kan
156,156,kapan
157,157,kapankah
158,158,kapanpun
159,159,dikarenakan
160,160,karena
161,161,karenanya
162,162,ke
163,163,kecil
164,164,kemudian
165,165,kenapa
166,166,kepada
167,167,kepadanya
168,168,ketika
169,169,seketika
170,170,khususnya
171,171,kini
172,172,kinilah
173,173,kiranya
174,174,sekiranya
175,175,kita
176,176,kitalah
177,177,kok
178,178,lagi
179,179,lagian
180,180,selagi
181,181,lah
182,182,lain
183,183,lainnya
184,184,melainkan
185,185,selaku
186,186,lalu
187,187,melalui
188,188,terlalu
189,189,lama
190,190,lamanya
191,191,selama
192,192,selama
193,193,selamanya
194,194,lebih
195,195,terlebih
196,196,bermacam
197,197,macam
198,198,semacam
199,199,maka
200,200,makanya
201,201,makin
202,202,malah
203,203,malahan
204,204,mampu
205,205,mampukah
206,206,mana
207,207,manakala
208,208,manalagi
209,209,masih
210,210,masihkah
211,211,semasih
212,212,masing
213,213,mau
214,214,maupun
215,215,semaunya
216,216,memang
217,217,mereka
218,218,merekalah
219,219,meski
220,220,meskipun
221,221,semula
222,222,mungkin
223,223,mungkinkah
224,224,nah
225,225,namun
226,226,nanti
227,227,nantinya
228,228,nyaris
229,229,oleh
230,230,olehnya
231,231,seorang
232,232,seseorang
233,233,pada
234,234,padanya
235,235,padahal
236,236,paling
237,237,sepanjang
238,238,pantas
239,239,sepantasnya
240,240,sepantasnyalah
241,241,para
242,242,pasti
243,243,pastilah
244,244,per
245,245,pernah
246,246,pula
247,247,pun
248,248,merupakan
249,249,rupanya
250,250,serupa
251,251,saat
252,252,saatnya
253,253,sesaat
254,254,saja
255,255,sajalah
256,256,saling
257,257,bersama
258,258,sama
259,259,sesama
260,260,sambil
261,261,sampai
262,262,sana
263,263,sangat
264,264,sangatlah
265,265,saya
266,266,sayalah
267,267,se
268,268,sebab
269,269,sebabnya
270,270,sebuah
271,271,tersebut
272,272,tersebutlah
273,273,sedang
274,274,sedangkan
275,275,sedikit
276,276,sedikitnya
277,277,segala
278,278,segalanya
279,279,segera
280,280,sesegera
281,281,sejak
282,282,sejenak
283,283,sekali
284,284,sekalian
285,285,sekalipun
286,286,sesekali
287,287,sekaligus
288,288,sekarang
289,289,sekarang
290,290,sekitar
291,291,sekitarnya
292,292,sela
293,293,selain
294,294,selalu
295,295,seluruh
296,296,seluruhnya
297,297,semakin
298,298,sementara
299,299,sempat
300,300,semua
301,301,semuanya
302,302,sendiri
303,303,sendirinya
304,304,seolah
305,305,seperti
306,306,sepertinya
307,307,sering
308,308,seringnya
309,309,serta
310,310,siapa
311,311,siapakah
312,312,siapapun
313,313,disini
314,314,disinilah
315,315,sini
316,316,sinilah
317,317,sesuatu
318,318,sesuatunya
319,319,suatu
320,320,sesudah
321,321,sesudahnya
322,322,sudah
323,323,sudahkah
324,324,sudahlah
325,325,supaya
326,326,tadi
327,327,tadinya
328,328,tak
329,329,tanpa
330,330,setelah
331,331,telah
332,332,tentang
333,333,tentu
334,334,tentulah
335,335,tentunya
336,336,tertentu
337,337,seterusnya
338,338,tapi
339,339,tetapi
340,340,setiap
341,341,tiap
342,342,setidaknya
343,343,tidak
344,344,tidakkah
345,345,tidaklah
346,346,toh
347,347,waduh
348,348,wah
349,349,wahai
350,350,sewaktu
351,351,walau
352,352,walaupun
353,353,wong
354,354,yaitu
355,355,yakni
356,356,yang
357,357,yg
358,358,ya
359,359,tdk
360,360,gt
361,361,trs
362,362,gak
363,363,dg
364,364,krn
365,365,sdh
366,366,pa
367,367,pak
368,368,jadi
369,369,untuk
370,370,Gw
371,371,rt
372,372,lampung
373,373,ga
374,374,ada
375,375,gini
376,376,knp
377,377,aja
