Usia,Jenis Kelamin,Pendidikan Terakhir,Jabatan,Masa Kerja,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,PU1,PU2,PU3,PU4,PU5,PU6,PU7,PU8,PU9,PU10,PU11,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,AD11,AD12,AD13,Cons1,Cons2,Cons3,Cons4,Cons5,Cons6
26,Laki-laki,D4/S1,Staf / Pelaksana,6,4,5,3,4,2,1,1,1,3,5,1,1,1,1,5,1,5,1,5,1,2,4,5,2,1,1,5,1,3,5,1,5,7,7,6,7,6,7
22,Perempuan,D4/S1,Staf / Pelaksana,2,5,4,5,4,5,5,3,5,5,3,5,5,5,4,3,4,4,2,4,3,4,5,2,4,3,3,5,5,4,4,2,4,7,6,2,7,6,7
35,Laki-laki,D4/S1,,5,2,3,3,1,5,4,5,3,2,5,4,3,1,3,2,3,4,3,1,3,5,4,3,4,3,2,4,5,1,3,4,5,7,7,3,7,3,7
32,Laki-laki,D1/D2/D3,Staf / Pelaksana,4,5,4,4,1,5,4,2,1,1,4,4,4,2,2,4,4,3,3,2,4,5,5,2,5,5,5,1,1,5,5,1,1,7,7,1,7,7,7
43,Laki-laki,D4/S1,Staf / Pelaksana,23,2,2,4,2,4,4,2,2,4,4,4,4,3,3,2,3,2,4,2,4,4,4,2,4,4,5,2,2,4,5,2,1,7,7,1,7,7,7
,Laki-laki,D4/S1,Staf / Pelaksana,6,3,5,4,2,5,5,1,2,2,4,5,5,1,4,3,5,3,4,1,5,5,5,4,4,5,5,4,1,5,5,2,3,7,7,1,7,7,7
32,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,2,5,2,5,5,2,4,1,4,3,2,3,3,5,5,2,5,3,4,5,3,3,4,4,2,2,5,4,4,4,5,2,1,5,4,4,5,3,2
37,Laki-laki,D4/S1,Staf / Pelaksana,5,5,4,5,3,5,4,5,2,3,5,5,2,2,4,5,5,1,4,5,4,4,5,3,3,2,4,5,5,3,5,5,4,7,6,6,7,7,7
22,Perempuan,D4/S1,Eksekutif / Pejabat Eselon II,4,3,3,3,1,3,3,1,3,3,3,4,3,2,3,4,3,2,4,2,5,3,4,5,4,3,3,5,4,5,5,3,4,7,5,5,7,4,6
48,Laki-laki,D1/D2/D3,Manajer Lini / Pejabat Eselon IV/ III,7,3,3,5,2,4,3,4,3,4,3,5,4,2,3,3,3,3,3,4,2,3,4,5,3,3,4,5,3,4,3,4,3,4,3,5,3,4,3
25,Laki-laki,D1/D2/D3,Eksekutif / Pejabat Eselon II,5,4,5,5,4,5,5,1,4,5,5,5,5,4,4,4,5,5,5,1,5,4,3,3,5,4,3,5,2,5,5,3,3,7,5,5,7,4,6
55,Laki-laki,D1/D2/D3,Manajer Lini / Pejabat Eselon IV/ III,8,4,5,4,4,5,4,3,2,3,2,4,4,1,1,4,5,3,4,5,5,1,5,3,1,3,4,2,4,2,5,2,3,7,7,3,7,7,7
38,Laki-laki,SMA/ setara,Staf / Pelaksana,17,2,5,4,2,5,5,1,1,1,4,4,2,1,1,3,4,4,5,1,5,3,3,2,3,4,5,2,2,5,5,1,2,7,7,1,7,7,7
40,Laki-laki,D1/D2/D3,Staf / Pelaksana,9,5,5,5,1,5,5,1,5,4,5,5,4,3,1,1,3,1,1,3,5,5,5,5,5,3,5,2,2,4,3,4,5,6,5,4,7,6,7
47,Laki-laki,SMA/ setara,Staf / Pelaksana,11,5,3,4,2,5,4,3,2,3,4,5,2,2,2,2,4,5,5,2,5,4,5,3,4,3,5,2,5,4,5,3,4,7,7,1,7,7,7
55,Laki-laki,D4/S1,Staf / Pelaksana,10,3,4,4,2,4,5,2,2,3,4,4,4,2,5,4,2,5,4,4,4,4,3,2,3,3,3,3,2,4,5,2,2,5,5,4,5,5,6
62,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,8,3,3,3,3,3,1,2,4,3,3,2,3,4,2,2,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,3,2,7,6,1,6,6,6
47,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,12,3,3,3,3,4,4,1,3,2,3,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,1,4,4,2,3,7,7,1,6,6,6
52,Laki-laki,SMA/ setara,Staf / Pelaksana,12,4,4,3,3,4,3,2,1,4,4,5,4,4,2,4,5,4,5,2,3,4,4,3,3,2,3,3,4,4,5,1,2,7,7,1,7,7,7
33,Laki-laki,S2,Manajer Lini / Pejabat Eselon IV/ III,5,1,5,5,2,5,5,1,4,4,5,5,5,1,3,5,5,5,5,1,5,4,4,1,4,5,5,1,2,5,5,3,2,7,7,1,7,7,7
49,Laki-laki,SMA/ setara,Staf / Pelaksana,10,1,3,4,2,5,5,5,2,2,4,5,5,3,3,4,2,1,1,1,2,4,5,5,4,3,3,3,1,5,5,3,4,7,5,2,7,7,1
58,Laki-laki,SMA/ setara,Staf / Pelaksana,20,2,3,4,4,4,4,4,4,3,4,4,5,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,5,3,4,5,5,7,7,1,7,7,7
49,Laki-laki,D4/S1,Staf / Pelaksana,18,4,4,5,4,5,4,5,4,5,4,4,3,3,4,4,4,3,4,5,4,4,3,4,4,3,4,3,4,4,3,3,3,7,7,1,7,7,7
55,Laki-laki,SMA/ setara,Staf / Pelaksana,11,1,5,4,2,5,4,1,2,4,4,4,4,2,2,2,3,3,4,2,3,3,4,2,3,3,3,3,2,4,4,2,2,7,7,1,7,7,7
26,Perempuan,D1/D2/D3,Staf / Pelaksana,1,5,4,4,2,3,3,4,2,4,3,2,3,3,5,2,2,4,2,2,4,4,4,2,4,4,3,2,2,2,2,1,4,6,6,2,5,5,6
27,Perempuan,D4/S1,Staf / Pelaksana,3,4,4,4,2,4,4,3,2,3,4,4,4,2,3,3,4,2,4,2,4,3,3,2,3,3,4,2,2,4,3,2,2,5,5,2,5,4,4
34,Laki-laki,S2,Manajer Lini / Pejabat Eselon IV/ III,13,2,4,5,2,4,4,1,4,2,2,2,3,2,4,2,2,4,3,4,4,4,4,2,4,4,4,2,2,4,4,2,2,6,7,3,6,6,6
34,Perempuan,D4/S1,Staf / Pelaksana,13,4,4,5,2,4,5,3,3,3,4,3,4,3,5,4,4,5,5,4,3,3,4,5,4,3,3,4,4,3,3,3,3,7,6,3,6,6,6
34,Laki-laki,S2,Staf / Pelaksana,13,1,5,4,2,4,5,1,1,4,5,2,2,2,2,2,4,4,4,1,4,4,4,2,4,4,4,2,2,4,4,1,1,7,6,1,6,6,6
26,Laki-laki,D4/S1,Staf / Pelaksana,3,4,4,3,3,4,4,4,3,2,3,3,3,1,3,3,4,3,3,2,5,4,4,2,3,4,3,3,3,3,4,2,2,7,6,6,6,5,6
28,Perempuan,D4/S1,Staf / Pelaksana,6,4,4,3,4,4,4,3,4,5,5,4,4,2,4,4,5,2,4,1,5,3,3,2,4,3,4,2,1,4,4,1,1,6,6,2,6,5,5
27,Perempuan,D4/S1,Staf / Pelaksana,6,4,4,4,2,4,4,2,2,3,4,3,3,2,5,3,3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,3,2,6,5,3,5,6,5
34,Perempuan,D4/S1,Staf / Pelaksana,10,5,5,5,4,4,5,2,2,2,4,2,3,1,3,2,4,3,3,2,5,5,5,2,3,4,3,3,2,5,4,2,2,7,6,2,6,6,5
34,Perempuan,D4/S1,Staf / Pelaksana,11,4,4,4,3,3,4,3,4,3,3,3,3,2,3,3,4,2,4,3,4,3,3,3,4,3,3,3,2,4,4,2,2,6,5,2,6,5,5
35,Perempuan,S2,Staf / Pelaksana,5,4,4,5,2,4,4,1,2,4,4,4,4,2,4,4,4,2,4,3,4,4,4,2,4,4,4,4,2,4,4,2,2,6,6,2,6,6,6
29,Perempuan,S2,Staf / Pelaksana,2,4,4,5,3,5,4,1,3,3,4,4,4,1,4,3,4,5,4,2,4,4,4,1,4,4,3,3,2,4,5,1,1,6,6,1,7,6,6
39,Laki-laki,S2,Staf / Pelaksana,10,5,4,4,4,4,4,3,4,2,3,2,4,2,5,4,4,2,4,2,4,3,4,1,4,4,4,3,3,4,5,1,1,6,6,2,6,6,5
33,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,10,5,5,4,3,5,5,1,1,4,4,5,3,2,4,2,2,3,4,5,4,5,5,1,4,5,5,2,2,4,5,4,4,7,7,1,7,7,6
36,Perempuan,D4/S1,Staf / Pelaksana,9,4,5,4,2,4,4,2,2,4,3,3,3,2,3,3,3,3,4,2,4,4,4,2,4,4,4,3,3,4,4,2,2,6,6,2,6,5,5
30,Laki-laki,D4/S1,Staf / Pelaksana,3,5,4,4,5,4,4,5,5,4,3,4,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,6,5,6,5,6,5
35,Laki-laki,D1/D2/D3,Staf / Pelaksana,12,5,5,5,4,4,4,2,4,2,4,4,4,2,4,3,4,2,4,2,4,4,4,2,4,4,4,3,2,4,4,4,2,6,6,2,6,5,6
34,Perempuan,S2,Staf / Pelaksana,10,3,4,4,2,4,4,1,1,4,4,3,2,1,2,2,3,2,5,1,5,4,5,1,4,4,4,3,3,4,4,2,1,7,6,1,7,7,7
26,Laki-laki,D4/S1,Staf / Pelaksana,4,5,4,5,4,4,4,4,5,3,4,4,4,2,4,4,5,2,4,4,4,4,4,3,4,3,4,1,2,4,4,2,2,6,6,2,6,6,6
34,Laki-laki,D1/D2/D3,Staf / Pelaksana,13,4,4,4,2,3,4,4,2,2,3,3,3,2,4,4,3,4,4,4,4,4,4,3,3,3,3,2,3,4,4,2,2,6,5,6,5,5,5
27,Perempuan,D1/D2/D3,Staf / Pelaksana,4,5,5,5,1,5,5,1,1,5,5,5,5,1,5,5,5,3,5,1,5,5,5,1,5,5,5,1,1,5,5,1,1,7,5,1,7,7,7
33,Perempuan,D1/D2/D3,Staf / Pelaksana,10,3,3,3,2,3,3,2,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,5,4,4,5,5,5
33,Laki-laki,D1/D2/D3,Staf / Pelaksana,13,5,5,5,3,3,4,3,2,5,3,4,3,1,4,3,5,1,5,4,5,4,4,2,3,3,4,3,2,4,4,2,3,7,5,6,5,4,5
34,Perempuan,S2,Staf / Pelaksana,10,4,4,4,2,4,4,1,1,1,4,4,4,1,2,4,5,1,4,2,4,4,4,2,4,4,4,2,2,4,4,1,1,7,6,2,7,6,6
25,Laki-laki,D4/S1,Staf / Pelaksana,3,4,5,5,3,5,5,1,1,4,2,2,4,1,2,2,1,2,4,2,4,4,4,1,4,4,4,5,2,4,4,2,1,7,7,1,7,7,7
29,Laki-laki,D1/D2/D3,Staf / Pelaksana,14,3,4,3,3,5,5,2,3,3,5,5,5,1,2,3,5,2,5,2,4,5,4,2,5,5,5,2,3,5,5,2,1,7,7,2,7,7,7
34,Laki-laki,S2,Staf / Pelaksana,12,1,3,3,4,4,4,2,4,2,2,1,4,2,2,1,1,4,4,4,2,2,2,4,4,2,4,4,4,4,4,4,2,5,5,3,3,3,3
35,Laki-laki,D1/D2/D3,Staf / Pelaksana,15,4,4,4,4,4,4,2,3,4,4,4,4,2,4,3,4,2,4,2,4,3,4,2,4,4,4,4,2,4,4,2,2,6,5,2,6,5,6
35,Laki-laki,D4/S1,Staf / Pelaksana,13,5,5,5,3,4,4,2,2,3,5,4,4,2,5,3,2,2,4,3,5,5,5,2,4,4,5,5,2,5,5,1,1,7,7,2,7,7,7
24,Perempuan,D1/D2/D3,Staf / Pelaksana,4,4,4,4,3,4,5,1,3,4,4,3,5,1,3,4,2,3,4,2,4,5,5,3,4,5,4,5,3,5,5,3,1,7,6,2,7,6,6
35,Perempuan,D1/D2/D3,Staf / Pelaksana,10,2,4,4,1,4,4,2,2,2,4,4,3,2,5,3,1,3,5,3,4,5,4,3,4,4,4,2,2,2,4,2,2,7,7,1,7,6,5
23,Perempuan,D4/S1,Staf / Pelaksana,1,5,4,4,4,3,4,3,5,4,3,3,4,2,4,4,5,5,4,4,4,4,4,3,4,4,4,2,3,4,4,2,3,5,5,5,6,6,6
25,Perempuan,SMA/ setara,Staf / Pelaksana,3,5,5,5,2,4,5,3,2,1,5,2,4,1,4,4,5,2,4,2,5,5,4,2,5,5,4,2,2,5,4,2,2,6,6,2,7,6,5
49,Laki-laki,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,27,4,4,4,3,4,4,2,2,3,4,3,3,1,2,2,4,3,4,2,4,3,4,3,4,4,4,2,2,4,4,2,2,6,6,1,6,6,6
26,Perempuan,D1/D2/D3,Staf / Pelaksana,5,4,4,4,2,4,4,3,2,4,3,3,4,1,4,3,3,3,4,3,4,4,4,2,4,4,4,3,3,4,3,3,3,7,4,3,6,5,4
47,Laki-laki,S2,Manajer Lini / Pejabat Eselon IV/ III,21,3,4,4,3,5,5,3,3,3,4,4,4,2,4,4,4,3,3,2,5,5,5,2,4,5,3,4,2,4,4,2,2,7,7,2,6,6,6
35,Perempuan,D4/S1,Staf / Pelaksana,10,4,4,4,2,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,3,3,6,6,2,6,6,6
51,Laki-laki,S2,Manajer Lini / Pejabat Eselon IV/ III,27,4,4,3,4,4,3,3,4,3,3,3,4,3,4,4,3,4,3,3,4,4,4,2,3,4,3,3,3,5,5,1,1,6,5,5,5,7,5
40,Laki-laki,D4/S1,Staf / Pelaksana,20,5,5,5,4,4,5,3,3,4,5,4,3,1,4,1,4,2,4,1,4,4,4,2,4,5,5,5,2,4,4,1,1,7,7,1,7,7,7
54,Laki-laki,S2,Manajer Lini / Pejabat Eselon IV/ III,31,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,5,2,4,2,4,4,4,4,4,4,4,2,3,3,4,2,2,6,6,2,6,6,6
51,Laki-laki,S2,Manajer Lini / Pejabat Eselon IV/ III,25,5,5,4,2,5,5,1,1,4,5,4,5,1,2,4,5,1,5,5,5,5,5,1,5,5,5,3,1,5,5,1,1,7,7,1,7,7,7
37,Laki-laki,D1/D2/D3,Staf / Pelaksana,15,4,4,4,2,4,4,2,2,2,4,4,3,2,2,3,3,2,4,2,4,4,4,2,4,4,3,2,2,4,4,2,2,6,6,2,6,6,5
30,Laki-laki,S3,Staf / Pelaksana,9,5,5,5,2,5,5,5,3,1,4,5,5,2,4,4,5,4,4,2,4,5,5,2,4,5,5,3,4,5,4,2,1,7,7,2,7,7,7
35,Laki-laki,D4/S1,Staf / Pelaksana,15,5,5,5,3,4,5,1,3,2,4,5,4,1,4,3,3,2,4,1,4,4,4,1,2,3,3,1,1,4,4,1,1,7,7,2,6,7,7
29,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,7,4,4,3,3,4,4,2,4,4,2,4,5,3,2,4,4,2,4,3,5,4,4,2,4,4,5,2,2,5,4,1,1,7,6,4,6,4,6
40,Perempuan,S2,Staf / Pelaksana,20,3,4,3,2,5,5,2,2,4,5,5,5,3,5,4,3,3,4,3,3,3,3,3,4,4,4,3,3,4,4,2,3,6,5,2,6,6,6
35,Perempuan,S2,Eksekutif / Pejabat Eselon II,13,5,5,5,3,4,5,1,3,1,4,4,5,2,5,4,4,3,4,3,3,5,5,4,4,4,4,3,3,4,4,1,1,6,6,2,6,6,6
29,Perempuan,S2,Manajer Lini / Pejabat Eselon IV/ III,7,4,4,4,2,5,4,2,1,3,3,3,3,2,3,4,3,2,4,2,4,5,4,2,4,4,4,3,3,4,4,3,2,6,6,2,7,6,7
30,Laki-laki,D4/S1,Staf / Pelaksana,2,4,5,4,2,4,4,1,3,2,4,3,4,2,5,4,4,4,4,1,4,4,4,3,3,3,4,2,2,4,4,1,2,5,6,3,6,6,4
28,Laki-laki,D4/S1,Staf / Pelaksana,4,5,5,5,2,5,5,1,2,4,4,5,5,1,4,4,5,1,2,2,4,4,4,2,4,4,4,3,4,4,5,2,2,7,7,2,7,7,7
29,Perempuan,D4/S1,Staf / Pelaksana,4,5,4,5,3,5,4,2,3,3,4,4,4,2,4,3,5,4,5,3,3,4,4,3,4,4,3,3,2,4,4,3,3,6,6,3,7,6,6
27,Perempuan,S2,Staf / Pelaksana,5,4,4,4,3,4,4,2,4,4,3,3,4,3,5,3,4,4,4,4,4,4,4,3,4,4,4,2,2,4,4,2,2,6,7,3,6,6,6
26,Laki-laki,D1/D2/D3,Staf / Pelaksana,4,5,4,5,2,3,4,3,3,4,3,2,3,4,5,4,4,4,4,4,4,3,3,2,4,4,4,2,2,4,3,2,3,7,5,3,6,4,6
27,Laki-laki,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,4,4,4,4,2,4,4,2,3,3,3,4,3,2,4,3,4,3,4,1,4,4,4,3,4,4,4,2,2,5,5,2,2,6,6,2,6,5,6
28,Laki-laki,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,3,5,5,4,5,4,5,1,2,4,5,2,5,1,5,5,5,2,5,1,5,3,4,1,4,5,5,2,1,5,5,1,1,6,7,3,6,7,3
28,Laki-laki,D4/S1,Staf / Pelaksana,4,5,5,4,2,4,5,4,2,4,4,2,4,1,4,4,4,2,4,1,4,4,4,2,4,2,4,2,1,4,4,2,1,7,6,6,6,6,7
27,Laki-laki,D4/S1,Staf / Pelaksana,3,3,4,4,3,4,4,1,2,4,3,4,4,2,2,3,5,2,4,2,4,4,4,2,3,4,2,2,2,3,3,2,2,6,5,3,5,5,5
26,Laki-laki,D4/S1,Staf / Pelaksana,4,4,5,4,5,4,4,5,2,2,4,4,5,2,3,4,5,2,4,1,4,5,4,2,4,5,5,2,2,5,4,2,2,6,6,2,6,7,7
30,Laki-laki,D4/S1,Eksekutif / Pejabat Eselon II,6,5,5,4,5,4,4,3,4,2,4,4,4,2,4,3,4,5,4,2,4,5,4,3,4,5,4,3,2,5,5,2,2,6,5,4,5,5,6
24,Perempuan,D4/S1,Staf / Pelaksana,2,4,4,4,3,4,4,2,2,4,4,4,3,2,4,3,5,2,4,2,4,4,4,3,3,4,2,3,2,4,4,1,2,6,6,3,6,7,7
27,Laki-laki,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,6,5,5,4,4,5,5,1,2,2,5,5,5,1,2,3,5,3,4,1,4,5,5,4,5,5,4,3,1,4,4,1,1,7,7,3,7,7,7
34,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,15,5,5,5,3,5,5,1,3,5,5,5,5,2,4,3,5,3,4,2,5,5,5,2,5,5,4,3,2,4,5,2,1,7,7,1,7,7,7
37,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,15,5,5,4,3,4,5,2,2,3,4,4,3,2,3,3,4,2,4,2,4,4,4,2,4,4,3,2,1,4,4,1,1,7,6,1,7,6,7
25,Laki-laki,D4/S1,Staf / Pelaksana,3,4,5,4,3,4,4,2,2,2,3,3,3,3,3,2,4,3,3,3,4,4,4,3,3,4,4,3,3,4,4,2,3,6,6,4,6,6,5
22,Perempuan,D1/D2/D3,Staf / Pelaksana,2,4,3,4,4,4,3,2,2,4,4,4,4,3,5,3,3,3,4,4,4,4,5,4,4,4,3,2,2,3,4,2,2,6,6,3,6,6,7
28,Laki-laki,D4/S1,Staf / Pelaksana,1,4,4,4,2,5,4,2,2,3,3,3,3,3,2,3,4,3,3,2,3,3,3,1,3,3,3,3,2,3,3,1,1,7,5,2,7,6,6
35,Laki-laki,D4/S1,Staf / Pelaksana,13,4,4,5,4,3,4,3,4,2,4,4,4,2,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,1,3,5,4,3,5,6,6
27,Perempuan,D4/S1,Staf / Pelaksana,5,5,5,5,2,4,4,1,3,4,4,4,4,1,3,4,4,2,4,1,4,4,4,2,4,4,4,2,3,4,4,1,1,7,6,3,6,5,7
27,Perempuan,S2,Staf / Pelaksana,2,4,4,4,3,3,4,3,4,4,2,2,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,4,3,2,3,6,5,4,5,5,5
25,Perempuan,D4/S1,Staf / Pelaksana,2,4,4,3,3,3,2,3,4,4,2,2,2,4,4,4,3,2,4,3,4,4,4,4,4,3,3,4,4,3,3,4,3,6,5,6,6,4,5
30,Laki-laki,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,7,4,4,4,3,4,4,2,2,3,3,4,4,2,2,4,4,2,4,2,4,4,4,2,4,4,4,3,3,4,4,2,2,6,5,3,5,6,6
25,Laki-laki,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,2,5,4,4,3,5,4,2,2,4,5,5,5,2,2,5,5,2,4,1,4,4,4,2,4,4,4,2,2,4,5,2,1,7,7,3,7,6,7
23,Laki-laki,D4/S1,Staf / Pelaksana,1,4,2,4,4,3,3,3,4,4,2,3,4,4,5,4,3,4,2,4,3,4,4,2,3,4,2,4,3,4,3,3,3,7,6,5,6,5,3
29,Perempuan,D4/S1,Manajer Lini / Pejabat Eselon IV/ III,8,5,3,5,3,4,4,2,5,5,3,4,5,5,4,5,5,4,4,1,5,4,4,2,2,4,4,2,1,5,4,1,2,6,6,5,6,4,5
24,Perempuan,D4/S1,Staf / Pelaksana,2,4,2,3,2,3,3,2,3,4,2,2,4,3,5,4,4,4,4,4,5,2,3,3,4,4,5,2,2,5,4,1,3,7,5,3,6,3,5
26,Perempuan,D4/S1,Staf / Pelaksana,4,4,5,5,2,2,4,1,5,4,3,4,4,2,5,3,4,2,5,2,5,4,5,2,5,4,4,3,4,5,4,1,1,6,7,6,7,6,5
23,Perempuan,SMA/ setara,Staf / Pelaksana,32,3,4,3,2,3,3,1,3,3,4,2,3,2,2,2,3,3,4,2,4,3,3,3,4,4,4,3,1,4,4,1,4,5,6,3,5,6,6
21,Laki-laki,SMA/ setara,Staf / Pelaksana,2,4,5,5,4,3,5,1,5,3,4,3,4,4,5,3,5,5,5,3,4,3,4,4,5,5,3,3,3,5,5,3,4,6,5,3,6,7,7
28,Laki-laki,D4/S1,Staf / Pelaksana,9,4,5,5,3,5,5,1,4,1,4,5,4,2,3,5,4,5,5,2,5,5,5,1,5,5,5,5,5,5,5,1,4,7,7,1,7,7,7
23,Perempuan,D4/S1,Staf / Pelaksana,3,3,4,3,4,3,4,3,3,3,4,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,4,4,2,2,5,4,2,5,5,5
20,Perempuan,D4/S1,Staf / Pelaksana,2,5,4,4,3,4,5,4,2,4,2,5,5,2,5,4,5,5,4,2,5,4,4,4,3,4,5,5,4,5,5,1,1,7,6,3,6,4,6
