"","Usia","Jenis Kelamin","Pendidikan Terakhir","Jabatan","Masa Kerja","KM1","KM2","KM3","KM4","KM5","KM6","KM7","KM8","PU1","PU2","PU3","PU4","PU5","PU6","PU7","PU8","PU9","PU10","PU11","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","AD11","AD12","AD13","Cons1","Cons2","Cons3","Cons4","Cons5","Cons6"
"1",26,"Laki-laki","D4/S1","Staf / Pelaksana",6,4,5,3,4,2,1,1,1,3,5,1,1,1,1,5,1,5,1,5,1,2,4,5,2,1,1,5,1,3,5,1,5,7,7,6,7,6,7
"2",22,"Perempuan","D4/S1","Staf / Pelaksana",2,5,4,5,4,5,5,3,5,5,3,5,5,5,4,3,4,4,2,4,3,4,5,2,4,3,3,5,5,4,4,2,4,7,6,2,7,6,7
"3",32,"Laki-laki","D1/D2/D3","Staf / Pelaksana",4,5,4,4,1,5,4,2,1,1,4,4,4,2,2,4,4,3,3,2,4,5,5,2,5,5,5,1,1,5,5,1,1,7,7,1,7,7,7
"4",43,"Laki-laki","D4/S1","Staf / Pelaksana",23,2,2,4,2,4,4,2,2,4,4,4,4,3,3,2,3,2,4,2,4,4,4,2,4,4,5,2,2,4,5,2,1,7,7,1,7,7,7
"5",32,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",2,5,2,5,5,2,4,1,4,3,2,3,3,5,5,2,5,3,4,5,3,3,4,4,2,2,5,4,4,4,5,2,1,5,4,4,5,3,2
"6",37,"Laki-laki","D4/S1","Staf / Pelaksana",5,5,4,5,3,5,4,5,2,3,5,5,2,2,4,5,5,1,4,5,4,4,5,3,3,2,4,5,5,3,5,5,4,7,6,6,7,7,7
"7",22,"Perempuan","D4/S1","Eksekutif / Pejabat Eselon II",4,3,3,3,1,3,3,1,3,3,3,4,3,2,3,4,3,2,4,2,5,3,4,5,4,3,3,5,4,5,5,3,4,7,5,5,7,4,6
"8",48,"Laki-laki","D1/D2/D3","Manajer Lini / Pejabat Eselon IV/ III",7,3,3,5,2,4,3,4,3,4,3,5,4,2,3,3,3,3,3,4,2,3,4,5,3,3,4,5,3,4,3,4,3,4,3,5,3,4,3
"9",25,"Laki-laki","D1/D2/D3","Eksekutif / Pejabat Eselon II",5,4,5,5,4,5,5,1,4,5,5,5,5,4,4,4,5,5,5,1,5,4,3,3,5,4,3,5,2,5,5,3,3,7,5,5,7,4,6
"10",55,"Laki-laki","D1/D2/D3","Manajer Lini / Pejabat Eselon IV/ III",8,4,5,4,4,5,4,3,2,3,2,4,4,1,1,4,5,3,4,5,5,1,5,3,1,3,4,2,4,2,5,2,3,7,7,3,7,7,7
"11",38,"Laki-laki","SMA/ setara","Staf / Pelaksana",17,2,5,4,2,5,5,1,1,1,4,4,2,1,1,3,4,4,5,1,5,3,3,2,3,4,5,2,2,5,5,1,2,7,7,1,7,7,7
"12",40,"Laki-laki","D1/D2/D3","Staf / Pelaksana",9,5,5,5,1,5,5,1,5,4,5,5,4,3,1,1,3,1,1,3,5,5,5,5,5,3,5,2,2,4,3,4,5,6,5,4,7,6,7
"13",47,"Laki-laki","SMA/ setara","Staf / Pelaksana",11,5,3,4,2,5,4,3,2,3,4,5,2,2,2,2,4,5,5,2,5,4,5,3,4,3,5,2,5,4,5,3,4,7,7,1,7,7,7
"14",55,"Laki-laki","D4/S1","Staf / Pelaksana",10,3,4,4,2,4,5,2,2,3,4,4,4,2,5,4,2,5,4,4,4,4,3,2,3,3,3,3,2,4,5,2,2,5,5,4,5,5,6
"15",62,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",8,3,3,3,3,3,1,2,4,3,3,2,3,4,2,2,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,3,2,7,6,1,6,6,6
"16",47,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",12,3,3,3,3,4,4,1,3,2,3,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,1,4,4,2,3,7,7,1,6,6,6
"17",52,"Laki-laki","SMA/ setara","Staf / Pelaksana",12,4,4,3,3,4,3,2,1,4,4,5,4,4,2,4,5,4,5,2,3,4,4,3,3,2,3,3,4,4,5,1,2,7,7,1,7,7,7
"18",33,"Laki-laki","S2","Manajer Lini / Pejabat Eselon IV/ III",5,1,5,5,2,5,5,1,4,4,5,5,5,1,3,5,5,5,5,1,5,4,4,1,4,5,5,1,2,5,5,3,2,7,7,1,7,7,7
"19",49,"Laki-laki","SMA/ setara","Staf / Pelaksana",10,1,3,4,2,5,5,5,2,2,4,5,5,3,3,4,2,1,1,1,2,4,5,5,4,3,3,3,1,5,5,3,4,7,5,2,7,7,1
"20",58,"Laki-laki","SMA/ setara","Staf / Pelaksana",20,2,3,4,4,4,4,4,4,3,4,4,5,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,5,3,4,5,5,7,7,1,7,7,7
"21",49,"Laki-laki","D4/S1","Staf / Pelaksana",18,4,4,5,4,5,4,5,4,5,4,4,3,3,4,4,4,3,4,5,4,4,3,4,4,3,4,3,4,4,3,3,3,7,7,1,7,7,7
"22",55,"Laki-laki","SMA/ setara","Staf / Pelaksana",11,1,5,4,2,5,4,1,2,4,4,4,4,2,2,2,3,3,4,2,3,3,4,2,3,3,3,3,2,4,4,2,2,7,7,1,7,7,7
"23",26,"Perempuan","D1/D2/D3","Staf / Pelaksana",1,5,4,4,2,3,3,4,2,4,3,2,3,3,5,2,2,4,2,2,4,4,4,2,4,4,3,2,2,2,2,1,4,6,6,2,5,5,6
"24",27,"Perempuan","D4/S1","Staf / Pelaksana",3,4,4,4,2,4,4,3,2,3,4,4,4,2,3,3,4,2,4,2,4,3,3,2,3,3,4,2,2,4,3,2,2,5,5,2,5,4,4
"25",34,"Laki-laki","S2","Manajer Lini / Pejabat Eselon IV/ III",13,2,4,5,2,4,4,1,4,2,2,2,3,2,4,2,2,4,3,4,4,4,4,2,4,4,4,2,2,4,4,2,2,6,7,3,6,6,6
"26",34,"Perempuan","D4/S1","Staf / Pelaksana",13,4,4,5,2,4,5,3,3,3,4,3,4,3,5,4,4,5,5,4,3,3,4,5,4,3,3,4,4,3,3,3,3,7,6,3,6,6,6
"27",34,"Laki-laki","S2","Staf / Pelaksana",13,1,5,4,2,4,5,1,1,4,5,2,2,2,2,2,4,4,4,1,4,4,4,2,4,4,4,2,2,4,4,1,1,7,6,1,6,6,6
"28",26,"Laki-laki","D4/S1","Staf / Pelaksana",3,4,4,3,3,4,4,4,3,2,3,3,3,1,3,3,4,3,3,2,5,4,4,2,3,4,3,3,3,3,4,2,2,7,6,6,6,5,6
"29",28,"Perempuan","D4/S1","Staf / Pelaksana",6,4,4,3,4,4,4,3,4,5,5,4,4,2,4,4,5,2,4,1,5,3,3,2,4,3,4,2,1,4,4,1,1,6,6,2,6,5,5
"30",27,"Perempuan","D4/S1","Staf / Pelaksana",6,4,4,4,2,4,4,2,2,3,4,3,3,2,5,3,3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,3,2,6,5,3,5,6,5
"31",34,"Perempuan","D4/S1","Staf / Pelaksana",10,5,5,5,4,4,5,2,2,2,4,2,3,1,3,2,4,3,3,2,5,5,5,2,3,4,3,3,2,5,4,2,2,7,6,2,6,6,5
"32",34,"Perempuan","D4/S1","Staf / Pelaksana",11,4,4,4,3,3,4,3,4,3,3,3,3,2,3,3,4,2,4,3,4,3,3,3,4,3,3,3,2,4,4,2,2,6,5,2,6,5,5
"33",35,"Perempuan","S2","Staf / Pelaksana",5,4,4,5,2,4,4,1,2,4,4,4,4,2,4,4,4,2,4,3,4,4,4,2,4,4,4,4,2,4,4,2,2,6,6,2,6,6,6
"34",29,"Perempuan","S2","Staf / Pelaksana",2,4,4,5,3,5,4,1,3,3,4,4,4,1,4,3,4,5,4,2,4,4,4,1,4,4,3,3,2,4,5,1,1,6,6,1,7,6,6
"35",39,"Laki-laki","S2","Staf / Pelaksana",10,5,4,4,4,4,4,3,4,2,3,2,4,2,5,4,4,2,4,2,4,3,4,1,4,4,4,3,3,4,5,1,1,6,6,2,6,6,5
"36",33,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",10,5,5,4,3,5,5,1,1,4,4,5,3,2,4,2,2,3,4,5,4,5,5,1,4,5,5,2,2,4,5,4,4,7,7,1,7,7,6
"37",36,"Perempuan","D4/S1","Staf / Pelaksana",9,4,5,4,2,4,4,2,2,4,3,3,3,2,3,3,3,3,4,2,4,4,4,2,4,4,4,3,3,4,4,2,2,6,6,2,6,5,5
"38",30,"Laki-laki","D4/S1","Staf / Pelaksana",3,5,4,4,5,4,4,5,5,4,3,4,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,6,5,6,5,6,5
"39",35,"Laki-laki","D1/D2/D3","Staf / Pelaksana",12,5,5,5,4,4,4,2,4,2,4,4,4,2,4,3,4,2,4,2,4,4,4,2,4,4,4,3,2,4,4,4,2,6,6,2,6,5,6
"40",34,"Perempuan","S2","Staf / Pelaksana",10,3,4,4,2,4,4,1,1,4,4,3,2,1,2,2,3,2,5,1,5,4,5,1,4,4,4,3,3,4,4,2,1,7,6,1,7,7,7
"41",26,"Laki-laki","D4/S1","Staf / Pelaksana",4,5,4,5,4,4,4,4,5,3,4,4,4,2,4,4,5,2,4,4,4,4,4,3,4,3,4,1,2,4,4,2,2,6,6,2,6,6,6
"42",34,"Laki-laki","D1/D2/D3","Staf / Pelaksana",13,4,4,4,2,3,4,4,2,2,3,3,3,2,4,4,3,4,4,4,4,4,4,3,3,3,3,2,3,4,4,2,2,6,5,6,5,5,5
"43",27,"Perempuan","D1/D2/D3","Staf / Pelaksana",4,5,5,5,1,5,5,1,1,5,5,5,5,1,5,5,5,3,5,1,5,5,5,1,5,5,5,1,1,5,5,1,1,7,5,1,7,7,7
"44",33,"Perempuan","D1/D2/D3","Staf / Pelaksana",10,3,3,3,2,3,3,2,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,5,4,4,5,5,5
"45",33,"Laki-laki","D1/D2/D3","Staf / Pelaksana",13,5,5,5,3,3,4,3,2,5,3,4,3,1,4,3,5,1,5,4,5,4,4,2,3,3,4,3,2,4,4,2,3,7,5,6,5,4,5
"46",34,"Perempuan","S2","Staf / Pelaksana",10,4,4,4,2,4,4,1,1,1,4,4,4,1,2,4,5,1,4,2,4,4,4,2,4,4,4,2,2,4,4,1,1,7,6,2,7,6,6
"47",25,"Laki-laki","D4/S1","Staf / Pelaksana",3,4,5,5,3,5,5,1,1,4,2,2,4,1,2,2,1,2,4,2,4,4,4,1,4,4,4,5,2,4,4,2,1,7,7,1,7,7,7
"48",29,"Laki-laki","D1/D2/D3","Staf / Pelaksana",14,3,4,3,3,5,5,2,3,3,5,5,5,1,2,3,5,2,5,2,4,5,4,2,5,5,5,2,3,5,5,2,1,7,7,2,7,7,7
"49",34,"Laki-laki","S2","Staf / Pelaksana",12,1,3,3,4,4,4,2,4,2,2,1,4,2,2,1,1,4,4,4,2,2,2,4,4,2,4,4,4,4,4,4,2,5,5,3,3,3,3
"50",35,"Laki-laki","D1/D2/D3","Staf / Pelaksana",15,4,4,4,4,4,4,2,3,4,4,4,4,2,4,3,4,2,4,2,4,3,4,2,4,4,4,4,2,4,4,2,2,6,5,2,6,5,6
"51",35,"Laki-laki","D4/S1","Staf / Pelaksana",13,5,5,5,3,4,4,2,2,3,5,4,4,2,5,3,2,2,4,3,5,5,5,2,4,4,5,5,2,5,5,1,1,7,7,2,7,7,7
"52",24,"Perempuan","D1/D2/D3","Staf / Pelaksana",4,4,4,4,3,4,5,1,3,4,4,3,5,1,3,4,2,3,4,2,4,5,5,3,4,5,4,5,3,5,5,3,1,7,6,2,7,6,6
"53",35,"Perempuan","D1/D2/D3","Staf / Pelaksana",10,2,4,4,1,4,4,2,2,2,4,4,3,2,5,3,1,3,5,3,4,5,4,3,4,4,4,2,2,2,4,2,2,7,7,1,7,6,5
"54",23,"Perempuan","D4/S1","Staf / Pelaksana",1,5,4,4,4,3,4,3,5,4,3,3,4,2,4,4,5,5,4,4,4,4,4,3,4,4,4,2,3,4,4,2,3,5,5,5,6,6,6
"55",25,"Perempuan","SMA/ setara","Staf / Pelaksana",3,5,5,5,2,4,5,3,2,1,5,2,4,1,4,4,5,2,4,2,5,5,4,2,5,5,4,2,2,5,4,2,2,6,6,2,7,6,5
"56",49,"Laki-laki","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",27,4,4,4,3,4,4,2,2,3,4,3,3,1,2,2,4,3,4,2,4,3,4,3,4,4,4,2,2,4,4,2,2,6,6,1,6,6,6
"57",26,"Perempuan","D1/D2/D3","Staf / Pelaksana",5,4,4,4,2,4,4,3,2,4,3,3,4,1,4,3,3,3,4,3,4,4,4,2,4,4,4,3,3,4,3,3,3,7,4,3,6,5,4
"58",47,"Laki-laki","S2","Manajer Lini / Pejabat Eselon IV/ III",21,3,4,4,3,5,5,3,3,3,4,4,4,2,4,4,4,3,3,2,5,5,5,2,4,5,3,4,2,4,4,2,2,7,7,2,6,6,6
"59",35,"Perempuan","D4/S1","Staf / Pelaksana",10,4,4,4,2,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,3,3,6,6,2,6,6,6
"60",51,"Laki-laki","S2","Manajer Lini / Pejabat Eselon IV/ III",27,4,4,3,4,4,3,3,4,3,3,3,4,3,4,4,3,4,3,3,4,4,4,2,3,4,3,3,3,5,5,1,1,6,5,5,5,7,5
"61",40,"Laki-laki","D4/S1","Staf / Pelaksana",20,5,5,5,4,4,5,3,3,4,5,4,3,1,4,1,4,2,4,1,4,4,4,2,4,5,5,5,2,4,4,1,1,7,7,1,7,7,7
"62",54,"Laki-laki","S2","Manajer Lini / Pejabat Eselon IV/ III",31,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,5,2,4,2,4,4,4,4,4,4,4,2,3,3,4,2,2,6,6,2,6,6,6
"63",51,"Laki-laki","S2","Manajer Lini / Pejabat Eselon IV/ III",25,5,5,4,2,5,5,1,1,4,5,4,5,1,2,4,5,1,5,5,5,5,5,1,5,5,5,3,1,5,5,1,1,7,7,1,7,7,7
"64",37,"Laki-laki","D1/D2/D3","Staf / Pelaksana",15,4,4,4,2,4,4,2,2,2,4,4,3,2,2,3,3,2,4,2,4,4,4,2,4,4,3,2,2,4,4,2,2,6,6,2,6,6,5
"65",30,"Laki-laki","S3","Staf / Pelaksana",9,5,5,5,2,5,5,5,3,1,4,5,5,2,4,4,5,4,4,2,4,5,5,2,4,5,5,3,4,5,4,2,1,7,7,2,7,7,7
"66",35,"Laki-laki","D4/S1","Staf / Pelaksana",15,5,5,5,3,4,5,1,3,2,4,5,4,1,4,3,3,2,4,1,4,4,4,1,2,3,3,1,1,4,4,1,1,7,7,2,6,7,7
"67",29,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",7,4,4,3,3,4,4,2,4,4,2,4,5,3,2,4,4,2,4,3,5,4,4,2,4,4,5,2,2,5,4,1,1,7,6,4,6,4,6
"68",40,"Perempuan","S2","Staf / Pelaksana",20,3,4,3,2,5,5,2,2,4,5,5,5,3,5,4,3,3,4,3,3,3,3,3,4,4,4,3,3,4,4,2,3,6,5,2,6,6,6
"69",35,"Perempuan","S2","Eksekutif / Pejabat Eselon II",13,5,5,5,3,4,5,1,3,1,4,4,5,2,5,4,4,3,4,3,3,5,5,4,4,4,4,3,3,4,4,1,1,6,6,2,6,6,6
"70",29,"Perempuan","S2","Manajer Lini / Pejabat Eselon IV/ III",7,4,4,4,2,5,4,2,1,3,3,3,3,2,3,4,3,2,4,2,4,5,4,2,4,4,4,3,3,4,4,3,2,6,6,2,7,6,7
"71",30,"Laki-laki","D4/S1","Staf / Pelaksana",2,4,5,4,2,4,4,1,3,2,4,3,4,2,5,4,4,4,4,1,4,4,4,3,3,3,4,2,2,4,4,1,2,5,6,3,6,6,4
"72",28,"Laki-laki","D4/S1","Staf / Pelaksana",4,5,5,5,2,5,5,1,2,4,4,5,5,1,4,4,5,1,2,2,4,4,4,2,4,4,4,3,4,4,5,2,2,7,7,2,7,7,7
"73",29,"Perempuan","D4/S1","Staf / Pelaksana",4,5,4,5,3,5,4,2,3,3,4,4,4,2,4,3,5,4,5,3,3,4,4,3,4,4,3,3,2,4,4,3,3,6,6,3,7,6,6
"74",27,"Perempuan","S2","Staf / Pelaksana",5,4,4,4,3,4,4,2,4,4,3,3,4,3,5,3,4,4,4,4,4,4,4,3,4,4,4,2,2,4,4,2,2,6,7,3,6,6,6
"75",26,"Laki-laki","D1/D2/D3","Staf / Pelaksana",4,5,4,5,2,3,4,3,3,4,3,2,3,4,5,4,4,4,4,4,4,3,3,2,4,4,4,2,2,4,3,2,3,7,5,3,6,4,6
"76",27,"Laki-laki","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",4,4,4,4,2,4,4,2,3,3,3,4,3,2,4,3,4,3,4,1,4,4,4,3,4,4,4,2,2,5,5,2,2,6,6,2,6,5,6
"77",28,"Laki-laki","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",3,5,5,4,5,4,5,1,2,4,5,2,5,1,5,5,5,2,5,1,5,3,4,1,4,5,5,2,1,5,5,1,1,6,7,3,6,7,3
"78",28,"Laki-laki","D4/S1","Staf / Pelaksana",4,5,5,4,2,4,5,4,2,4,4,2,4,1,4,4,4,2,4,1,4,4,4,2,4,2,4,2,1,4,4,2,1,7,6,6,6,6,7
"79",27,"Laki-laki","D4/S1","Staf / Pelaksana",3,3,4,4,3,4,4,1,2,4,3,4,4,2,2,3,5,2,4,2,4,4,4,2,3,4,2,2,2,3,3,2,2,6,5,3,5,5,5
"80",26,"Laki-laki","D4/S1","Staf / Pelaksana",4,4,5,4,5,4,4,5,2,2,4,4,5,2,3,4,5,2,4,1,4,5,4,2,4,5,5,2,2,5,4,2,2,6,6,2,6,7,7
"81",30,"Laki-laki","D4/S1","Eksekutif / Pejabat Eselon II",6,5,5,4,5,4,4,3,4,2,4,4,4,2,4,3,4,5,4,2,4,5,4,3,4,5,4,3,2,5,5,2,2,6,5,4,5,5,6
"82",24,"Perempuan","D4/S1","Staf / Pelaksana",2,4,4,4,3,4,4,2,2,4,4,4,3,2,4,3,5,2,4,2,4,4,4,3,3,4,2,3,2,4,4,1,2,6,6,3,6,7,7
"83",27,"Laki-laki","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",6,5,5,4,4,5,5,1,2,2,5,5,5,1,2,3,5,3,4,1,4,5,5,4,5,5,4,3,1,4,4,1,1,7,7,3,7,7,7
"84",34,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",15,5,5,5,3,5,5,1,3,5,5,5,5,2,4,3,5,3,4,2,5,5,5,2,5,5,4,3,2,4,5,2,1,7,7,1,7,7,7
"85",37,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",15,5,5,4,3,4,5,2,2,3,4,4,3,2,3,3,4,2,4,2,4,4,4,2,4,4,3,2,1,4,4,1,1,7,6,1,7,6,7
"86",25,"Laki-laki","D4/S1","Staf / Pelaksana",3,4,5,4,3,4,4,2,2,2,3,3,3,3,3,2,4,3,3,3,4,4,4,3,3,4,4,3,3,4,4,2,3,6,6,4,6,6,5
"87",22,"Perempuan","D1/D2/D3","Staf / Pelaksana",2,4,3,4,4,4,3,2,2,4,4,4,4,3,5,3,3,3,4,4,4,4,5,4,4,4,3,2,2,3,4,2,2,6,6,3,6,6,7
"88",28,"Laki-laki","D4/S1","Staf / Pelaksana",1,4,4,4,2,5,4,2,2,3,3,3,3,3,2,3,4,3,3,2,3,3,3,1,3,3,3,3,2,3,3,1,1,7,5,2,7,6,6
"89",35,"Laki-laki","D4/S1","Staf / Pelaksana",13,4,4,5,4,3,4,3,4,2,4,4,4,2,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,1,3,5,4,3,5,6,6
"90",27,"Perempuan","D4/S1","Staf / Pelaksana",5,5,5,5,2,4,4,1,3,4,4,4,4,1,3,4,4,2,4,1,4,4,4,2,4,4,4,2,3,4,4,1,1,7,6,3,6,5,7
"91",27,"Perempuan","S2","Staf / Pelaksana",2,4,4,4,3,3,4,3,4,4,2,2,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,4,3,2,3,6,5,4,5,5,5
"92",25,"Perempuan","D4/S1","Staf / Pelaksana",2,4,4,3,3,3,2,3,4,4,2,2,2,4,4,4,3,2,4,3,4,4,4,4,4,3,3,4,4,3,3,4,3,6,5,6,6,4,5
"93",30,"Laki-laki","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",7,4,4,4,3,4,4,2,2,3,3,4,4,2,2,4,4,2,4,2,4,4,4,2,4,4,4,3,3,4,4,2,2,6,5,3,5,6,6
"94",25,"Laki-laki","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",2,5,4,4,3,5,4,2,2,4,5,5,5,2,2,5,5,2,4,1,4,4,4,2,4,4,4,2,2,4,5,2,1,7,7,3,7,6,7
"95",23,"Laki-laki","D4/S1","Staf / Pelaksana",1,4,2,4,4,3,3,3,4,4,2,3,4,4,5,4,3,4,2,4,3,4,4,2,3,4,2,4,3,4,3,3,3,7,6,5,6,5,3
"96",29,"Perempuan","D4/S1","Manajer Lini / Pejabat Eselon IV/ III",8,5,3,5,3,4,4,2,5,5,3,4,5,5,4,5,5,4,4,1,5,4,4,2,2,4,4,2,1,5,4,1,2,6,6,5,6,4,5
"97",24,"Perempuan","D4/S1","Staf / Pelaksana",2,4,2,3,2,3,3,2,3,4,2,2,4,3,5,4,4,4,4,4,5,2,3,3,4,4,5,2,2,5,4,1,3,7,5,3,6,3,5
"98",26,"Perempuan","D4/S1","Staf / Pelaksana",4,4,5,5,2,2,4,1,5,4,3,4,4,2,5,3,4,2,5,2,5,4,5,2,5,4,4,3,4,5,4,1,1,6,7,6,7,6,5
"99",23,"Perempuan","SMA/ setara","Staf / Pelaksana",32,3,4,3,2,3,3,1,3,3,4,2,3,2,2,2,3,3,4,2,4,3,3,3,4,4,4,3,1,4,4,1,4,5,6,3,5,6,6
"100",21,"Laki-laki","SMA/ setara","Staf / Pelaksana",2,4,5,5,4,3,5,1,5,3,4,3,4,4,5,3,5,5,5,3,4,3,4,4,5,5,3,3,3,5,5,3,4,6,5,3,6,7,7
"101",28,"Laki-laki","D4/S1","Staf / Pelaksana",9,4,5,5,3,5,5,1,4,1,4,5,4,2,3,5,4,5,5,2,5,5,5,1,5,5,5,5,5,5,5,1,4,7,7,1,7,7,7
"102",23,"Perempuan","D4/S1","Staf / Pelaksana",3,3,4,3,4,3,4,3,3,3,4,3,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,4,4,2,2,5,4,2,5,5,5
"103",20,"Perempuan","D4/S1","Staf / Pelaksana",2,5,4,4,3,4,5,4,2,4,2,5,5,2,5,4,5,5,4,2,5,4,4,4,3,4,5,5,4,5,5,1,1,7,6,3,6,4,6
"104",26,"Perempuan","D4/S1","Staf / Pelaksana",1,4,5,5,4,5,4,2,3,2,4,3,5,2,3,4,2,2,4,1,4,4,5,2,5,4,3,2,1,5,4,1,1,7,6,4,7,7,7
"105",27,"Perempuan","D4/S1","Staf / Pelaksana",1,5,4,5,4,5,5,3,3,4,5,5,5,4,5,4,5,5,5,4,4,4,4,4,5,5,5,4,4,3,4,3,3,7,6,1,7,6,7
